@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_write.v":106:0:106:5|Removing sequential instance frame_read_write_m0.frame_fifo_write_m0.write_len_latch[19] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_write.v":106:0:106:5|Removing sequential instance frame_read_write_m0.frame_fifo_write_m0.write_len_latch[20] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_write.v":106:0:106:5|Removing sequential instance frame_read_write_m0.frame_fifo_write_m0.write_len_latch[21] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_write.v":106:0:106:5|Removing sequential instance frame_read_write_m0.frame_fifo_write_m0.write_len_latch[22] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_write.v":106:0:106:5|Removing sequential instance frame_read_write_m0.frame_fifo_write_m0.write_len_latch[23] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_write.v":106:0:106:5|Removing sequential instance frame_read_write_m0.frame_fifo_write_m0.write_len_latch[24] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\dvi_tx\encode.v":151:2:151:7|Removing sequential instance dout[0] (in view: work.encode_0_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\dvi_tx\encode.v":151:2:151:7|Removing sequential instance dout[1] (in view: work.encode_0_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\dvi_tx\encode.v":135:2:135:7|Removing sequential instance q_m_reg[0] (in view: work.encode_0_0(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\dvi_tx\encode.v":135:2:135:7|Removing sequential instance q_m_reg[1] (in view: work.encode_0_0(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: FX493 |Applying initial value "1" on instance c_state[0].
@N: FX493 |Applying initial value "0" on instance c_state[1].
@N: FX493 |Applying initial value "0" on instance c_state[2].
@N: FX493 |Applying initial value "0" on instance c_state[3].
@N: FX493 |Applying initial value "0" on instance c_state[4].
@N: FX493 |Applying initial value "0" on instance c_state[5].
@N: MO231 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\i2c_master\i2c_master_bit_ctrl.v":254:4:254:9|Found counter in view:work.i2c_master_bit_ctrl(verilog) instance filter_cnt[13:0] 
@N: MO231 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\i2c_master\i2c_master_bit_ctrl.v":208:4:208:9|Found counter in view:work.i2c_master_bit_ctrl(verilog) instance cnt[15:0] 
@N: FX493 |Applying initial value "1" on instance c_state[0].
@N: FX493 |Applying initial value "0" on instance c_state[1].
@N: FX493 |Applying initial value "0" on instance c_state[2].
@N: FX493 |Applying initial value "0" on instance c_state[3].
@N: FX493 |Applying initial value "0" on instance c_state[4].
@N: FX493 |Applying initial value "0" on instance c_state[5].
@N: FX493 |Applying initial value "0" on instance c_state[6].
@N: FX493 |Applying initial value "0" on instance c_state[7].
@N: FX493 |Applying initial value "0" on instance c_state[8].
@N: FX493 |Applying initial value "0" on instance c_state[9].
@N: FX493 |Applying initial value "0" on instance c_state[10].
@N: FX493 |Applying initial value "0" on instance c_state[11].
@N: FX493 |Applying initial value "0" on instance c_state[12].
@N: FX493 |Applying initial value "0" on instance c_state[13].
@N: FX493 |Applying initial value "0" on instance c_state[14].
@N: FX493 |Applying initial value "0" on instance c_state[15].
@N: FX493 |Applying initial value "0" on instance c_state[16].
@N: FX493 |Applying initial value "0" on instance c_state[17].
@N: MF179 :|Found 9 by 9 bit equality operator ('==') ASYN_CTRL\.asyn_rempty_2 (in view: work.ipml_fifo_ctrl_v1_3_10s_8s_ASYN_1020s_4s(verilog))
@N: MF179 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":207:32:207:90|Found 10 by 10 bit equality operator ('==') ASYN_CTRL\.un8_asyn_wfull (in view: work.ipml_fifo_ctrl_v1_3_10s_8s_ASYN_1020s_4s(verilog))
@N: MF179 :|Found 11 by 11 bit equality operator ('==') ASYN_CTRL\.asyn_rempty_5 (in view: work.ipml_fifo_ctrl_v1_3_8s_10s_ASYN_252s_4s(verilog))
@N: MO231 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Found counter in view:work.frame_fifo_read_Z6(verilog) instance wait_cnt[7:0] 
@N: MO231 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Found counter in view:work.frame_fifo_read_Z6(verilog) instance read_cnt[24:6] 
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[0] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[1] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[2] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[3] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[4] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[5] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[6] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[7] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[8] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[9] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[10] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[11] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[12] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[13] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[14] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[15] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[18] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[19] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[20] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[21] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[22] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[23] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\sources_1\frame_fifo_read.v":108:0:108:5|Removing sequential instance read_len_latch[24] (in view: work.frame_fifo_read_Z6(verilog)) because it does not drive other instances.
@N: MO231 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\rtl\ipsl_ddrphy_reset_ctrl.v":52:0:52:5|Found counter in view:work.ipsl_ddrphy_reset_ctrl(verilog) instance cnt[7:0] 
@N: MO231 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\rtl\ipsl_ddrphy_update_ctrl.v":121:0:121:5|Found counter in view:work.ipsl_ddrphy_update_ctrl_16BIT_2s_0s_1s_2s_3s_1(verilog) instance dqs_drift_h_cnt[7:0] 
@N: MO231 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\rtl\ipsl_ddrphy_update_ctrl.v":102:0:102:5|Found counter in view:work.ipsl_ddrphy_update_ctrl_16BIT_2s_0s_1s_2s_3s_1(verilog) instance dqs_drift_l_cnt[7:0] 
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\rtl\ipsl_ddrphy_update_ctrl.v":293:0:293:5|Removing sequential instance ddrphy_update_comp_val_h[1] (in view: work.ipsl_ddrphy_update_ctrl_16BIT_2s_0s_1s_2s_3s_1(verilog)) because it does not drive other instances.
@N: MO231 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\rtl\ipsl_ddrc_reset_ctrl.v":113:0:113:5|Found counter in view:work.ipsl_hmemc_ddrc_top_Z11(verilog) instance u_ipsl_ddrc_reset_ctrl.ddrc_rst_cnt[4:0] 
@N: MO231 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\rtl\ipsl_ddrc_reset_ctrl.v":86:0:86:5|Found counter in view:work.ipsl_hmemc_ddrc_top_Z11(verilog) instance u_ipsl_ddrc_reset_ctrl.rst_cnt[4:0] 
@N: MO231 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\rtl\ipsl_ddrc_apb_reset.v":387:0:387:5|Found counter in view:work.ipsl_ddrc_apb_reset_Z9(verilog) instance cnt[6:0] 
@N: MO230 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\dynamo\controller.v":593:0:593:5|Found up-down counter in view:work.Controller(verilog) instance ya[23:8]  
@N: MF179 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\dynamo\controller.v":274:0:274:5|Found 24 by 24 bit equality operator ('==') un1_xplace2 (in view: work.Controller(verilog))
@N: MO231 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\dynamo\pulse.v":58:0:58:5|Found counter in view:work.Pulse_1(verilog) instance div_cnt[26:0] 
@N: MO231 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\dynamo\pulse.v":58:0:58:5|Found counter in view:work.Pulse_0(verilog) instance div_cnt[26:0] 
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\source\rtl\ipsl_ddrphy_update_ctrl.v":121:0:121:5|Removing sequential instance u_ddrphy_update_ctrl.dqs_drift_h_d1[0] (in view: work.ipsl_hmemc_phy_top_Z8(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":370:0:370:5|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.rd_water_level[0] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":370:0:370:5|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.rd_water_level[1] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":370:0:370:5|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.rd_water_level[2] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":370:0:370:5|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.rd_water_level[3] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":370:0:370:5|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.rd_water_level[4] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":370:0:370:5|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.rd_water_level[5] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":349:0:349:5|Removing sequential instance frame_read_write_m0.read_buf.U_ipml_fifo_afifo_64i_16o_128.U_ipml_fifo_ctrl.wr_water_level[0] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":106:8:106:13|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.ASYN_CTRL\.wbin_0_0[1] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":106:8:106:13|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.ASYN_CTRL\.wbin_0_0[2] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":106:8:106:13|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.ASYN_CTRL\.wbin_0_0[3] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":106:8:106:13|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.ASYN_CTRL\.wbin_0_0[4] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":106:8:106:13|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.ASYN_CTRL\.wbin_0_0[5] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":106:8:106:13|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.ASYN_CTRL\.wbin_0_0[6] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":106:8:106:13|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.ASYN_CTRL\.wbin_0_0[7] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":106:8:106:13|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.ASYN_CTRL\.wbin_0_0[8] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":106:8:106:13|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.ASYN_CTRL\.wbin_0_0[9] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":106:8:106:13|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.ASYN_CTRL\.wbin_0_0[10] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":106:8:106:13|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.ASYN_CTRL\.wbin_0[1] (in view: work.top(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\dande\desktop\13_ddr3_ov5640_hdmi\ipcore\afifo_16i_64o_512\rtl\ipml_fifo_ctrl_v1_3.v":106:8:106:13|Removing sequential instance frame_read_write_m0.write_buf.U_ipml_fifo_afifo_16i_64o_512.U_ipml_fifo_ctrl.ASYN_CTRL\.wbin_0[2] (in view: work.top(verilog)) because it does not drive other instances.
